,salary_in_usd
582,220000
3725,141300
3125,131300
1161,130000
2111,125000
2345,55000
9,230000
3590,73880
2536,90000
1849,200000
2351,120000
1017,132300
3320,175000
1028,376080
1378,180180
3343,186000
1915,133300
2961,185900
2041,70000
296,161800
3279,191475
2082,165000
2859,138938
2362,102640
2100,135000
277,140000
3385,98506
3594,47280
2091,135000
2717,47280
4112,235000
144,155000
1869,160000
790,180000
4030,9272
3641,170000
1184,123710
222,200000
1228,250000
945,183500
1603,50000
2423,150000
517,65000
3255,140250
2894,90000
1232,121700
3508,210000
1998,95000
1982,77453
2898,180000
3060,198440
3790,216000
261,80000
3086,85000
3140,141525
1449,38726
2795,89306
3627,181940
3468,160000
2543,169000
2714,45555
2978,106800
1823,66970
1918,170000
2604,134000
450,115000
2148,175000
2933,42000
2014,180000
58,60943
3198,20000
3612,80000
1715,115360
984,83500
1128,146000
192,185000
2305,92350
1579,142200
147,110000
2201,175000
2983,155000
2152,64000
1144,59166
1640,220000
2524,110000
427,185000
288,189750
4092,120000
818,222200
1494,81500
3087,250000
402,275000
2633,105066
3934,100000
1083,85000
46,144540
3209,122500
3601,73880
4097,74000
2667,118000
207,222200
2998,120000
3856,150000
3561,52533
2586,230000
3456,99100
1635,163625
4011,72000
443,110500
3405,50432
1292,116000
1325,204500
2569,120000
3145,191475
678,128000
2928,170000
109,204500
3540,145000
3369,135000
2774,172200
2228,40000
1169,106250
1079,100000
2942,205600
3921,28476
3463,250000
2403,134000
529,160000
2434,120000
3608,112300
3767,126500
2380,115934
3862,155499
2970,38000
3589,92350
1408,109400
1964,210000
3066,84053
1088,140000
1572,215050
2235,198200
3680,90320
3013,185900
690,105200
680,136000
104,80000
2263,246000
3054,141525
2649,95000
1426,90000
502,289800
181,160000
2175,75569
2650,153600
3440,53416
1018,190000
2645,100000
1955,90000
3261,141525
2046,120000
4019,16904
1006,145000
3751,129000
3903,74130
4015,93150
1703,81500
1631,120000
3879,200000
2182,128000
2264,201000
553,136000
696,86000
228,150000
2226,260000
3613,58000
2288,167500
1726,180000
3022,50000
2799,90000
694,155000
3555,132000
1618,165000
2612,175000
1142,276000
405,143200
2672,247500
652,136000
2728,135000
4021,190000
2907,128000
747,103079
2374,160000
1994,130000
771,60000
4071,66022
3470,221300
4087,62726
2180,46316
683,179000
2129,120000
369,222200
2833,245000
2247,56723
2591,120000
3692,135000
3938,79833
2237,52533
3796,80000
2575,100000
516,85000
2365,150000
902,167500
3292,80000
885,172200
351,162500
806,170000
3519,175000
2009,50000
962,85320
3901,450000
1059,75000
776,125000
3588,31520
2739,191200
1495,323300
3636,99000
762,200000
1286,140000
3403,123400
66,46400
2746,142200
2779,192564
3736,60000
3336,137400
42,104300
3250,50000
811,100000
3756,140000
1277,185900
508,155000
2719,204500
3583,84053
1000,90000
2593,110600
2349,58837
936,153600
1323,145000
850,59888
3707,205300
2972,65000
1660,100000
2446,230000
382,30000
1103,275300
707,250500
3572,35093
769,145000
2062,219000
3286,141525
1948,120000
2079,240500
2231,63000
2965,185900
2144,142200
2850,64000
1807,239000
3251,6359
3972,6072
3900,120000
3393,55410
1459,126000
3491,160000
2087,225000
1681,210914
434,203300
2936,145000
103,144000
2058,202000
2840,144000
1860,74540
3642,150000
2556,100000
2974,38000
2137,272550
1524,272000
505,129300
3671,160000
478,202800
81,192000
1196,90000
2455,106800
182,135000
3820,115000
2791,109000
882,230000
1381,104000
3777,135000
1146,75302
813,120000
3524,67723
4028,54094
2020,180000
2444,165000
2886,110000
1336,200000
2012,223800
3228,57786
49,140000
3176,135000
3844,240000
1919,150000
2573,135000
1226,153400
151,113750
879,132300
1177,106500
2554,190000
1863,84053
1774,81500
2606,120000
3070,85000
265,222000
1064,162500
3039,180000
2170,145900
2523,120000
2597,135000
2839,198440
200,60000
3827,83171
1907,120000
3390,135000
2332,37824
3690,167875
3303,191475
2738,375000
2817,85000
1401,107574
2691,61566
10,206000
3192,140000
3179,8050
1185,140000
1337,260000
2092,115000
2189,14307
3962,188000
2336,140000
1946,160000
35,275300
2863,130000
3238,63000
1750,130000
41,202800
3307,191475
282,170000
1768,182750
2680,102000
2949,200000
2149,204500
2316,135000
969,235000
3949,187442
1570,73131
1478,300240
554,54848
1968,122000
2555,135000
4044,90734
2507,50000
2479,70000
1779,165000
1827,240000
3648,98506
180,62500
2405,166700
638,160000
2711,196000
1114,17029
3920,153667
3911,90000
3469,100000
313,109697
1695,97508
1988,252000
1188,135000
475,145885
2780,144854
524,318300
1612,250000
3318,50000
3172,131300
2594,80000
507,129000
2337,120000
1063,112000
950,100000
2426,37824
930,149600
745,75000
2505,110000
3849,177000
992,172000
876,171250
4107,46809
352,130000
3818,78000
1204,150000
563,85320
2299,175000
3689,224000
2404,124000
3116,130000
1739,163800
2734,129300
2096,140000
2391,55410
1472,290000
3995,110000
1490,48000
3379,200000
243,210000
264,245100
2571,73546
1058,110000
2671,129300
3525,186000
1513,66000
1583,120000
1892,250000
1983,38726
206,145000
711,140000
2796,182500
685,245000
337,173175
330,222200
3774,135000
2806,12608
1661,225900
1057,48000
3026,98000
1069,100000
2539,178000
2938,78000
1359,90000
2829,61566
681,175000
4070,98000
3396,175000
2519,37824
1042,275000
592,224000
3752,99000
655,260000
1153,129000
1966,174500
1357,93800
2902,157000
3554,164000
3046,160395
3597,67723
2239,146000
1756,133300
1399,140000
238,160000
682,100000
852,207000
3244,191475
820,260000
3411,102100
4026,135000
900,170000
483,132300
2750,129300
1467,158000
2605,180000
934,190000
2243,183600
3282,82280
113,120000
1112,180180
1657,85320
154,100000
866,170000
1664,162500
1284,142200
1744,150000
3035,73546
2595,185900
1896,80000
431,183500
3529,240000
1592,227000
3963,160000
1974,24722
2682,110600
1352,75302
1777,205000
2437,120000
1563,110600
3957,70000
2422,95000
927,106500
641,200000
830,203100
2199,135000
2913,171000
2865,103432
2033,80000
3183,132100
3194,60000
3108,175000
3875,10354
3096,215000
3220,136994
522,204500
1659,48000
3339,203500
3142,135000
2764,150000
750,130000
625,134236
1038,170000
214,95000
6,121000
3000,122000
3709,175100
1889,160000
1958,174500
3867,49646
3441,50000
1002,139500
2494,51716
3321,140000
2490,162000
1427,51192
1431,169000
446,237000
2304,145000
3007,185900
1976,145000
3205,222640
1485,245000
323,252000
2668,205000
1830,113000
3814,20000
2400,60000
3668,61300
1913,100000
2981,185900
3732,110500
3802,30523
4083,165000
3233,215000
3954,150000
3557,123000
142,236500
3516,131300
1367,15812
1234,106800
1429,149076
3401,167100
3696,160000
4016,160000
4043,26005
3406,245000
1510,299500
1127,100000
2792,79000
2797,128500
2705,138750
3852,20000
1444,125000
3184,60000
2954,129300
3056,36773
1518,180000
1578,204500
725,203000
2864,100000
2188,182000
3032,115360
562,15000
3919,47282
283,150000
1348,185000
692,112000
1249,139500
1796,183000
3488,160000
3328,105000
2946,84000
2213,145000
306,125000
590,247500
2935,230400
589,170000
3854,77364
1624,250000
2716,129300
1784,145000
51,136600
3652,43096
677,187000
1795,135000
2216,120000
2625,49253
576,200000
3950,51519
3952,112872
1296,43939
2771,135000
3111,180000
1034,260000
621,122900
4020,63831
3745,160000
1312,103603
3234,164000
2516,160000
99,140000
1095,297300
2656,63040
947,170000
596,17029
843,135000
1733,204500
62,196000
948,135000
802,146000
1717,59166
3986,115000
3319,53368
1163,172200
886,175000
287,175000
3806,75000
284,200000
3905,144000
2663,130000
1267,150000
1993,168000
3256,135000
2696,231250
276,120000
2008,87000
1197,185000
1308,120000
3133,110000
2561,100000
2208,94500
2420,50000
2267,235000
1646,200000
2045,96100
174,198200
2849,57872
2392,50432
1387,239000
4118,45391
1725,26893
2366,198800
2704,231250
3909,103000
3591,215300
2221,100000
3658,137141
2191,150000
59,70000
1591,170000
1047,120000
1363,72075
2429,128000
2435,115934
1482,169000
605,185000
3842,405000
3803,55685
2599,155000
3421,24000
2742,156400
3944,113476
3638,120600
13,300000
128,150000
3299,63000
1898,110000
1645,115000
726,133200
23,261500
810,125000
2646,160000
3333,160000
3018,95000
1061,87000
3501,119300
424,270703
2732,95000
624,191765
2272,130000
2377,144000
798,155000
2801,45600
4025,35735
2941,130050
1369,175000
3801,17805
1279,200000
1432,110600
3052,144000
1783,200000
3174,131300
4074,120000
867,317070
1033,121600
3721,266400
3908,150000
2765,154560
118,136000
3559,164996
3951,106000
80,61800
542,309400
2054,297300
448,309400
1439,140000
2712,204500
2640,165000
1761,252000
858,249300
3327,145000
2407,124234
1046,175000
2559,140250
1928,17515
138,165000
3667,130000
3576,36940
1113,106020
1009,105700
1245,149076
1699,121886
2022,225000
3241,45390
3034,38154
766,180000
2064,196000
1217,60000
571,228000
1368,200000
480,145000
528,195000
909,184000
2035,72000
421,20984
1126,150000
16,92000
674,136000
1841,60818
2552,194000
393,100000
2677,205000
3122,218000
3764,110925
1521,78000
3274,141525
3981,165000
3577,42026
1595,160000
3062,69344
2785,315000
3370,85000
1174,155000
350,35203
2291,60000
845,106500
3873,9466
4042,87000
2997,150000
1712,155850
2813,130000
1135,130000
1854,94000
3929,140000
1961,183310
2342,100000
2709,127000
193,177300
115,172000
2579,42026
3538,112900
669,175000
2323,190000
1741,163800
789,154000
1436,180000
3643,102100
484,179170
3551,175000
1252,109400
3415,250000
3072,180000
3861,144000
2924,129300
4018,66265
3697,205300
4130,151000
1696,216100
1790,70000
2587,154600
997,126000
672,162000
2600,140000
2162,120000
3024,37824
2632,100000
1642,235000
1289,121500
1748,138900
2893,97000
101,130001
2860,76000
27,12771
388,219000
729,221000
1838,119000
2675,177000
3794,104890
403,174000
495,120000
1143,178500
1119,150000
3832,33609
1512,144000
2770,145000
4132,100000
1055,92000
1214,146300
515,70000
195,83000
4017,25532
1947,135000
4125,119059
4003,20171
3539,90320
572,186000
3489,92000
194,136300
956,154000
1374,204500
1564,288000
619,152000
1285,155000
2841,240000
1409,170500
2013,172100
3586,164996
75,281000
2689,135000
552,222200
951,80000
2219,150000
1792,180180
3236,130000
2910,70000
540,168400
462,69923
3137,191475
1412,54528
3809,65000
1111,75048
3646,99360
2629,37824
4055,225000
3083,140000
704,280700
2139,182000
3082,20000
2904,100000
2167,140000
1930,134000
3077,45050
3943,103160
263,299500
3496,129000
381,86059
2186,75000
774,85000
842,170000
3534,200000
2016,232200
3568,101570
4099,18000
3619,61566
3779,220000
3356,134000
425,221484
190,200000
233,210000
3025,134000
3970,90000
2666,161000
662,127075
1621,81666
145,120000
3068,180000
3404,88100
3884,82744
944,275300
3838,61989
2081,187500
1770,100000
1551,109400
1517,120000
2317,100000
1489,55000
1811,150000
361,231250
3858,100000
3650,123000
1632,124740
1605,133300
1084,85320
1939,210000
2956,110600
2457,100000
1474,192000
2048,140000
2496,113900
2596,129300
2233,160000
3271,84053
2804,210000
1539,120000
3359,200000
2110,133300
1392,247500
3742,109280
1362,220000
1871,170000
3197,108000
2202,155000
1697,140800
2582,191200
2140,140000
1070,147100
1704,67037
1742,126000
693,210000
2518,47280
3979,91000
994,125000
4013,28016
2947,54000
162,62000
1670,95000
2274,92350
3931,170000
3263,141525
512,342300
226,175000
2467,130000
4,150000
3196,165000
1149,101531
1085,57895
4109,91237
3037,170000
2220,150000
754,160000
1764,156400
534,105000
3532,200000
3427,145000
285,170000
3517,22809
2515,142200
3666,90700
3615,136000
34,160000
627,112000
3965,200000
3877,21013
1045,81666
464,185900
2481,95000
2278,204500
1099,184000
3302,19073
3080,178800
904,250000
416,162500
2367,122600
1442,171600
3824,59888
2060,110000
1509,150000
531,143200
1787,199000
2427,190000
3860,100000
3771,105000
2334,81666
445,176000
849,75000
4023,16228
3094,229998
1536,155000
4064,5707
689,198800
3894,130026
1233,153600
1207,175000
2145,120000
1346,120000
4077,200000
1577,60000
2248,120000
2440,194000
3325,160000
1747,204500
1032,206500
1698,146263
3786,120000
923,128500
3338,180000
3942,88654
2944,236600
3185,63040
2718,37824
1091,120250
2784,142127
1937,299500
629,85000
487,116450
3346,128058
722,147000
2836,100000
14,260000
2616,68293
1758,129000
458,193500
3173,195400
3599,63040
2135,100000
414,342810
2339,249500
573,190000
889,125600
1343,48408
2891,180000
3030,161311
2793,160000
1759,150000
1619,124000
3807,157000
452,237000
2276,105000
1890,130000
1221,175000
3455,206699
1625,63000
828,182500
2922,110000
3446,260500
1383,110000
1781,160000
942,151000
1883,205600
3660,123000
911,165000
308,199000
134,260000
3061,144000
470,48408
3895,63831
1720,12771
3670,61300
4057,33808
2915,202800
1404,174000
3482,128875
1208,145000
2000,122700
600,120000
329,87500
928,275300
1209,175000
746,196480
2037,167000
1960,183310
1092,130000
3298,250000
368,125000
608,269600
966,150000
2730,100000
1502,200000
538,145000
2097,175308
2109,226700
3904,127221
752,250000
15,147000
2329,150000
4110,62726
1926,12908
3768,106260
1989,129000
758,145000
2158,113000
2930,150000
3748,52000
436,189110
2585,50000
977,75000
1136,169000
3708,184700
3606,63900
1186,120000
3676,115500
74,136000
2207,122000
84,152000
29,204500
2474,165000
2772,100000
1705,63380
737,304000
2172,110000
2868,52500
2757,12000
471,38726
127,90700
2967,108000
2273,115000
1971,146000
732,80000
2869,236000
3960,29751
530,230000
3047,115934
2952,33246
1236,100000
3300,118208
1653,75000
1274,75000
3869,120000
259,186600
899,183000
1730,100000
1745,145000
2510,150000
4126,423000
1694,121886
510,161800
3770,160080
60,60000
2702,231250
2166,115440
607,329500
1567,140000
3502,100000
3245,141525
3413,84053
2897,210000
2294,145000
3155,100000
390,147100
3305,191475
978,252000
3695,180000
2086,165750
796,237000
3380,150000
3546,158200
2025,114000
2408,74540
1030,153600
587,150000
870,81500
3368,85000
659,205000
3135,191475
1532,310000
1505,183310
2715,185900
1155,150000
800,80000
2831,160000
401,110000
3051,198440
4069,47899
1446,185000
11,192000
2078,140000
959,51192
168,172200
2232,210000
3459,250000
2511,100000
2193,261500
1222,186300
1828,139000
380,60943
699,139000
3828,165000
2918,36773
1072,115100
4006,100000
3190,67723
1290,78000
1497,30000
3330,146200
2937,115000
926,167500
2857,166000
2163,174500
2053,115000
1361,112000
1714,151410
2644,150000
1847,206000
2526,227200
2383,150000
3743,170000
1650,284310
4106,38776
1413,160766
1910,252000
1867,275300
2648,120000
2262,110000
623,145000
3907,75774
3710,140250
519,83270
3494,117000
2760,34672
1865,275300
3835,30469
2282,185900
1192,70000
3224,134000
970,121488
3699,176000
2783,179305
69,145000
2706,193750
1954,130000
1590,230000
3436,216000
2123,160000
1875,141290
3187,140000
1552,125000
3479,170000
1447,130000
2748,80036
1297,180000
827,95000
2059,135000
2989,120000
2901,210000
4095,12000
3734,43096
1927,6304
2471,160000
211,189750
2660,299500
973,130000
461,150000
1011,129000
1371,129300
568,140000
3850,65141
315,185900
2661,245100
4078,45896
2107,120000
787,181000
3776,140000
1327,95000
1206,119500
3662,61566
3602,55410
2356,210000
2900,180000
2195,13989
1420,64980
4098,152000
125,120000
3553,84053
1304,116000
2138,198200
1644,180000
4108,18053
2598,110000
656,136000
3277,102663
212,131100
2261,150000
3357,170000
72,200000
2017,167200
1419,72200
2643,107000
3881,200000
2756,81666
2419,70000
2324,150000
2125,100000
2699,116250
1721,250000
2463,135000
2754,135000
2767,130000
1821,61200
2570,115573
3587,42026
437,139000
1886,95000
3514,92000
1173,245100
1380,136000
2108,100000
1999,153400
4024,71786
1205,161500
998,237000
22,153090
1560,120000
107,189400
2150,142200
3306,141525
1073,73900
3381,195700
244,160000
3922,110000
1763,225000
2385,201000
819,136000
1410,85000
2106,37651
2095,170000
3659,167000
1535,95000
1262,121700
158,146000
2315,145000
3211,297500
1504,190000
435,123600
2159,184000
3248,142800
1379,106020
2369,80000
1456,202000
1950,250000
660,184000
3703,70500
355,174350
3294,180000
2381,81666
3570,93700
2681,169000
2250,160000
3533,65666
1238,172200
3924,250000
1840,154600
2657,36773
116,110000
1921,130000
3283,191475
378,105000
801,70000
1253,149600
1788,112000
778,105000
2870,182000
2844,144000
1405,139500
3654,110000
1503,150000
1520,126500
1266,125000
305,155000
1877,150000
3917,270000
805,56100
2280,192000
3815,102839
1597,160000
2015,150000
1479,200160
2047,80000
1922,225000
374,70000
1861,109000
3639,130000
2297,31795
152,41809
260,116500
3102,99750
990,62000
3836,69999
503,214200
914,145000
2535,130000
2583,130000
2982,129300
389,141000
3017,115000
1076,210000
3738,144854
1220,260000
2814,90000
482,165000
2386,187000
112,130000
3521,133766
4067,88654
400,150000
64,94000
2010,234100
4048,40038
25,83200
1145,48408
1239,310000
3750,126000
97,225000
3932,80000
1499,153088
3188,105000
3222,250000
2744,110600
1345,150000
857,353200
1606,252000
2993,191200
987,134024
3897,85000
339,160000
2462,160000
2887,123000
3085,160000
3109,150000
124,57000
1826,145000
591,172200
2303,200000
527,75000
1271,252000
1389,121904
36,183500
2279,142200
2855,127000
3424,63000
1,225000
720,65000
169,110000
1793,106020
440,231500
1082,100000
2441,129400
1075,105200
2293,142000
4103,59102
871,21514
3075,130000
632,105500
2184,110000
2550,70000
791,155000
1124,210914
2105,69923
1731,155000
3887,82528
3651,49253
3497,86000
3364,89306
2271,100000
2067,150000
556,241000
628,88256
1782,100000
3675,167000
1522,180000
1772,106800
514,100000
1093,205000
2745,204500
2485,134760
1684,140000
3011,200000
1402,86059
3391,193900
1789,105000
1140,139500
2843,198440
3598,43096
1593,108000
1157,126000
1001,90000
3366,63000
1533,239000
2301,175000
1037,115500
3217,100000
545,150000
3544,92350
2246,40000
649,173000
367,155000
4004,55000
43,215000
3200,135000
1995,79225
3134,99000
1187,160000
2115,120000
1986,135000
1066,299500
3821,83864
325,9477
1480,175000
3276,141525
3457,200000
3706,140400
1683,192500
4058,116914
2531,243000
967,111000
2275,67723
824,205000
3247,212800
2468,65000
2256,65000
2565,150000
1586,120000
1040,95000
3297,136100
1755,226700
3846,80000
4080,50000
2028,196200
2686,100000
1178,188500
3946,30428
1025,107900
3097,159000
1786,100000
2277,70000
3797,76814
1156,163800
3146,141525
4105,148261
322,120000
4100,60000
935,95000
1688,175000
1465,148000
2146,105000
2039,135000
3027,105000
110,142200
3462,63000
312,105066
3180,160000
1242,110000
3015,148500
1806,310000
2372,150000
1338,186000
438,258750
536,46316
1384,153400
1558,139500
1588,147100
1339,160000
606,140000
1477,200160
2439,190000
1473,210000
303,164000
712,120000
2931,95000
2685,135000
3010,156400
4059,46597
1633,65488
275,160000
493,56536
3691,175000
2920,99000
409,130000
463,96817
3798,117104
1876,74178
1125,116704
3833,75000
2919,197000
1530,200000
2976,92350
488,247300
332,220000
1303,154000
3280,141525
3851,48000
3630,160080
3178,80000
3442,250000
718,135000
4049,90000
3434,216200
3563,165400
1862,79000
1675,93919
1230,64544
291,82200
3886,62649
3536,92350
2567,160000
320,120000
611,250000
3164,102200
1615,75000
2177,161800
1276,82920
2914,117000
3107,179775
1691,200000
3235,300000
1398,192000
3864,38400
1893,175000
415,184590
2816,100000
3574,100800
1665,318300
2999,139000
2038,145000
630,65000
3989,110000
2418,110000
2006,142200
1816,175000
3700,144000
